DT,PersianDate,ContractCode,FirstPrice,MaxPrice,MinPrice,LastPrice,TradesVolume,TradesValue,OpenInterest,ChangeOpenInterest,ActiveCustomers,ActiveBrokers,C_Buy,C_Sell,LastSettlementPrice,TodaySettlementPrice,SettlementPricePercent
2025-02-04T00:00:00,1403/11/16,CD1SIB0001,919850.0,919850.0,893000.0,899990.0,238763,213925736690,6539760,233177,1839,57,143,26,900534.0,895975.0,-0.5063
2025-02-05T00:00:00,1403/11/17,CD1SIB0001,924990.0,924990.0,900000.0,916500.0,183863,167216855190,6694891,155131,1865,57,156,44,895975.0,909464.0,1.5055
2025-02-06T00:00:00,1403/11/18,CD1SIB0001,929990.0,929990.0,910010.0,919830.0,30335,27769832410,6722027,27136,1881,57,72,16,909464.0,915439.0,0.657
2025-02-08T00:00:00,1403/11/20,CD1SIB0001,0,0,0,0,0,0,6722027,0,1881,57,0,0,915439.0,915439.0,0
2025-02-09T00:00:00,1403/11/21,CD1SIB0001,955000.0,961210.0,926000.0,961210.0,572623,537961881950,6894027,172000,1904,58,146,54,915439.0,939470.0,2.6251
2025-02-10T00:00:00,1403/11/22,CD1SIB0001,0,0,0,0,0,0,6894027,0,1904,58,0,0,939470.0,939470.0,0
2025-02-11T00:00:00,1403/11/23,CD1SIB0001,964110.0,980900.0,938500.0,958990.0,113956,108736532710,6954653,60626,1921,58,200,74,939470.0,954198.0,1.5677
2025-02-12T00:00:00,1403/11/24,CD1SIB0001,0,0,0,0,0,0,6954653,0,1921,58,0,0,954198.0,954198.0,0
2025-02-13T00:00:00,1403/11/25,CD1SIB0001,969900.0,969900.0,950000.0,960000.0,40534,38840417250,6987671,33018,1935,58,74,18,954198.0,958218.0,0.4213
2025-02-15T00:00:00,1403/11/27,CD1SIB0001,970000.0,978890.0,951010.0,963960.0,338708,324835857080,7312434,324763,1961,58,160,34,958218.0,959044.0,0.0862
2025-02-16T00:00:00,1403/11/28,CD1SIB0001,969000.0,971890.0,960500.0,970000.0,62937,60745180190,7354794,42360,1977,58,124,40,959044.0,965174.0,0.6392
